"subject";"product";"rep";"Energizing";"Familiarity";"Liking";"Relaxing";"Wanting"
"45";"S002";"I32a";"1";4;5;5;4;5
"46";"S002";"I32b";"1";3;5;5;4;5
"47";"S002";"I3N";"1";3.5;5;5;4.5;5
"48";"S002";"I41a";"1";1;1;1;1;1
"49";"S002";"I41b";"1";1;1;1;1;1
"50";"S002";"I42a";"1";4;5;5;4;4
"51";"S002";"I42b";"1";3;3;5;3;4
"52";"S002";"I4N";"1";4;4;4.5;3;3.5
"53";"S002";"O1";"1";3;3;4;3;5
"54";"S002";"O10";"1";4;4;4;4;5
"55";"S002";"O11";"1";5;3;3;4;2
"56";"S002";"O12";"1";3;3;4;3;3
"57";"S002";"O2";"1";4;3;5;4;4
"58";"S002";"O3";"1";3;3;5;4;5
"59";"S002";"O4";"1";3;3;5;3;4
"60";"S002";"O5";"1";3;4;5;3;4
"61";"S002";"O6";"1";1;1;1;1;1
"62";"S002";"O7";"1";4;4;3;4;3
"63";"S002";"O8";"1";5;5;5;5;4
"64";"S002";"O9";"1";1;1;1;1;1
"65";"S003";"I11a";"1";1;1;1;1;1
"66";"S003";"I11b";"1";1;1;1;1;1
"67";"S003";"I12a";"1";4;5;5;3;5
"68";"S003";"I12b";"1";3;3;2;3;2
"69";"S003";"I1N";"1";4;4;4;4;5
"70";"S003";"I21a";"1";1;4;4;4;3
"71";"S003";"I21b";"1";2;4;5;5;5
"72";"S003";"I22a";"1";2;5;5;5;5
"73";"S003";"I22b";"1";3;4;5;5;5
"74";"S003";"I2N";"1";1.5;5;5;5;5
"75";"S003";"I31a";"1";2;3;3;2;3
"76";"S003";"I31b";"1";1;2;2;1;1
"77";"S003";"I32a";"1";4;4;4;4;3
"78";"S003";"I32b";"1";3;4;4;4;2
"79";"S003";"I3N";"1";3.5;4.5;5;4;4.5
"80";"S003";"I41a";"1";2;1;1;1;1
"81";"S003";"I41b";"1";1;2;2;1;1
"82";"S003";"I42a";"1";1;3;2;1;2
"83";"S003";"I42b";"1";2;4;3;4;2
"84";"S003";"I4N";"1";1;3;2;1;2
"85";"S003";"O1";"1";3;4;5;5;5
"86";"S003";"O10";"1";4;4;4;4;3
"87";"S003";"O11";"1";1;4;4;2;3
"88";"S003";"O12";"1";2;4;3;4;2
"89";"S003";"O2";"1";4;4;2;2;2
"90";"S003";"O3";"1";2;4;3;4;2
"91";"S003";"O4";"1";3;3;1;1;1
"92";"S003";"O5";"1";4;4;3;1;3
"93";"S003";"O6";"1";4;4;4;4;4
"94";"S003";"O7";"1";4;5;4;3;4
"95";"S003";"O8";"1";4;4;3;4;2
"96";"S003";"O9";"1";1;3;2;1;2
"97";"S004";"I11a";"1";1;1;1;1;1
"98";"S004";"I11b";"1";1;1;1;1;1
"99";"S004";"I12a";"1";3;5;5;5;5
"100";"S004";"I12b";"1";2;2;4;3;2
"101";"S004";"I1N";"1";3;4;3.5;4;3.5
"102";"S004";"I21a";"1";2;3;3;2;3
"103";"S004";"I21b";"1";2;3;3;2;3
"104";"S004";"I22a";"1";3;5;5;5;5
"105";"S004";"I22b";"1";3;3;4;3;4
"106";"S004";"I2N";"1";2.5;5;4;4;4.5
"107";"S004";"I31a";"1";2;1;3;1;2
"108";"S004";"I31b";"1";1;3;2;1;2
"109";"S004";"I32a";"1";3;4;4;4;5
"110";"S004";"I32b";"1";3;4;4;4;4
"111";"S004";"I3N";"1";3;4;4.5;5;4
"112";"S004";"I41a";"1";1;2;3;1;2
"113";"S004";"I41b";"1";2;3;3;2;2
"114";"S004";"I42a";"1";3;3;4;4;5
"115";"S004";"I42b";"1";2;1;3;3;2
"116";"S004";"I4N";"1";2.5;3;3;3;3.5
"117";"S004";"O1";"1";3;3;4;2;4
"118";"S004";"O10";"1";4;4;5;5;5
"119";"S004";"O11";"1";2;4;4;2;3
"120";"S004";"O12";"1";4;4;4;4;4
"121";"S004";"O2";"1";3;4;4;4;3
"122";"S004";"O3";"1";3;5;5;5;5
"123";"S004";"O4";"1";2;4;3;2;4
"124";"S004";"O5";"1";3;5;5;3;4
"125";"S004";"O6";"1";3;4;3;1;2
"126";"S004";"O7";"1";4;3;4;3;4
"127";"S004";"O8";"1";3;4;3;3;3
"128";"S004";"O9";"1";2;2;2;1;2
"129";"S005";"I11a";"1";3;1;1;1;1
"130";"S005";"I11b";"1";1;1;1;1;1
"131";"S005";"I12a";"1";3;5;5;4;4
"132";"S005";"I12b";"1";1;1;1;1;1
"133";"S005";"I1N";"1";1.5;2.5;2;1.5;1
"134";"S005";"I21a";"1";1;1;1;1;1
"135";"S005";"I21b";"1";1;1;1;1;1
"136";"S005";"I22a";"1";1;4;2;3;1
"137";"S005";"I22b";"1";3;1;3;2;3
"138";"S005";"I2N";"1";1;3.5;2.5;3;1.5
"139";"S005";"I31a";"1";2;3;3;3;1
"140";"S005";"I31b";"1";5;4;5;5;5
"141";"S005";"I32a";"1";5;5;5;5;3
"142";"S005";"I32b";"1";5;5;5;5;5
"143";"S005";"I3N";"1";5;5;5;5;5
"144";"S005";"I41a";"1";1;1;1;1;1
"145";"S005";"I41b";"1";1;1;1;1;1
"146";"S005";"I42a";"1";3;3;3;2;1
"147";"S005";"I42b";"1";4;4;5;4;2
"148";"S005";"I4N";"1";1;1;1;1;1
"149";"S005";"O1";"1";1;2;1;1;1
"150";"S005";"O10";"1";5;5;5;5;5
"151";"S005";"O11";"1";1;4;2;1;1
"152";"S005";"O12";"1";2;4;4;4;3
"153";"S005";"O2";"1";1;5;4;1;1
"154";"S005";"O3";"1";2;3;4;4;4
"155";"S005";"O4";"1";1;3;1;1;1
"156";"S005";"O5";"1";4;4;4;3;4
"157";"S005";"O6";"1";1;3;1;1;1
"158";"S005";"O7";"1";5;4;4;4;3
"159";"S005";"O8";"1";4;5;5;3;3
"160";"S005";"O9";"1";1;1;1;1;1
"161";"S006";"I11a";"1";1;1;1;1;1
"162";"S006";"I11b";"1";1;1;1;1;1
"163";"S006";"I12a";"1";5;5;5;5;5
"164";"S006";"I12b";"1";5;2;5;5;3
"165";"S006";"I1N";"1";5;4;5;5;5
"166";"S006";"I21a";"1";1;3;3;1;1
"167";"S006";"I21b";"1";5;5;4;5;5
"168";"S006";"I22a";"1";4;3;4;4;5
"169";"S006";"I22b";"1";5;3;4;5;5
"170";"S006";"I2N";"1";4.5;4.5;4.5;4.5;4.5
"171";"S006";"I31a";"1";2;2;3;2;1
"172";"S006";"I31b";"1";2;2;3;2;1
"173";"S006";"I32a";"1";5;5;5;5;5
"174";"S006";"I32b";"1";5;5;5;5;5
"175";"S006";"I3N";"1";5;5;5;5;5
"176";"S006";"I41a";"1";1;1;1;1;1
"177";"S006";"I41b";"1";1;1;1;1;1
"178";"S006";"I42a";"1";5;5;5;5;5
"179";"S006";"I42b";"1";5;5;5;5;5
"180";"S006";"I4N";"1";3.5;3.5;4;4;4
"181";"S006";"O1";"1";5;5;5;5;5
"182";"S006";"O10";"1";4;4;4;4;4
"183";"S006";"O11";"1";5;5;5;5;5
"184";"S006";"O12";"1";3;3;5;3;3
"185";"S006";"O2";"1";5;3;5;5;5
"186";"S006";"O3";"1";4;4;4;4;4
"187";"S006";"O4";"1";5;3;5;5;5
"188";"S006";"O5";"1";5;4;5;5;5
"189";"S006";"O6";"1";5;5;5;5;5
"190";"S006";"O7";"1";5;4;5;5;5
"191";"S006";"O8";"1";4;4;4;4;4
"192";"S006";"O9";"1";5;5;5;5;5
"193";"S007";"I11a";"1";1;1;1;1;1
"194";"S007";"I11b";"1";1;1;2;1;1
"195";"S007";"I12a";"1";3;4;4;3;4
"196";"S007";"I12b";"1";3;3;3;3;2
"197";"S007";"I1N";"1";3;3.5;3;3;3
"198";"S007";"I21a";"1";3;3;1;3;1
"199";"S007";"I21b";"1";3;3;1;3;1
"200";"S007";"I22a";"1";3;3;3;3;2
"201";"S007";"I22b";"1";3;3;4;3;3
"202";"S007";"I2N";"1";3;3;1;3;1
"203";"S007";"I31a";"1";2;2;3;2;2
"204";"S007";"I31b";"1";2;4;3;2;2
"205";"S007";"I32a";"1";3;4;4;4;4
"206";"S007";"I32b";"1";3;4;4;3;3
"207";"S007";"I3N";"1";3;5;5;5;5
"208";"S007";"I41a";"1";3;4;3;3;1
"209";"S007";"I41b";"1";3;4;4;3;3
"210";"S007";"I42a";"1";3;4;4;3;3
"211";"S007";"I42b";"1";3;3;4;1;1
"212";"S007";"I4N";"1";3;4;4;3;3
"213";"S007";"O1";"1";3;3;3;3;3
"214";"S007";"O10";"1";3;4;4;3;4
"215";"S007";"O11";"1";3;5;5;3;3
"216";"S007";"O12";"1";3;4;4;3;4
"217";"S007";"O2";"1";3;4;4;3;4
"218";"S007";"O3";"1";3;5;5;5;1
"219";"S007";"O4";"1";3;4;4;3;4
"220";"S007";"O5";"1";3;5;3;3;2
"221";"S007";"O6";"1";3;5;5;4;4
"222";"S007";"O7";"1";3;3;4;3;3
"223";"S007";"O8";"1";4;5;4;4;3
"224";"S007";"O9";"1";3;3;2;2;2
"225";"S008";"I11a";"1";1;1;1;1;1
"226";"S008";"I11b";"1";1;1;2;1;1
"227";"S008";"I12a";"1";5;5;5;5;5
"228";"S008";"I12b";"1";2;3;3;2;2
"229";"S008";"I1N";"1";3;3;3;3.5;4
"230";"S008";"I21a";"1";2;2;2;2;2
"231";"S008";"I21b";"1";2;2;2;2;2
"232";"S008";"I22a";"1";3;3;4;4;4
"233";"S008";"I22b";"1";3;4;3;3;3
"234";"S008";"I2N";"1";3;4.5;4;4;4.5
"235";"S008";"I31a";"1";3;3;3;3;3
"236";"S008";"I31b";"1";1;1;1;1;1
"237";"S008";"I32a";"1";5;5;5;5;5
"238";"S008";"I32b";"1";5;5;5;5;5
"239";"S008";"I3N";"1";5;5;5;5;5
"240";"S008";"I41a";"1";1;3;1;1;1
"241";"S008";"I41b";"1";1;3;1;1;1
"242";"S008";"I42a";"1";4;4;4;4;4
"243";"S008";"I42b";"1";5;5;5;5;5
"244";"S008";"I4N";"1";4;4.5;4;4;4.5
"245";"S008";"O1";"1";3;3;3;3;3
"246";"S008";"O10";"1";5;5;5;5;5
"247";"S008";"O11";"1";2;4;3;2;3
"248";"S008";"O12";"1";2;2;3;2;3
"249";"S008";"O2";"1";5;5;5;5;5
"250";"S008";"O3";"1";5;5;5;5;5
"251";"S008";"O4";"1";1;1;1;1;1
"252";"S008";"O5";"1";3;4;3;3;3
"253";"S008";"O6";"1";1;3;1;1;1
"254";"S008";"O7";"1";5;5;5;5;5
"255";"S008";"O8";"1";5;5;5;5;5
"256";"S008";"O9";"1";1;2;1;1;1
"257";"S009";"I11a";"1";1;1;1;1;1
"258";"S009";"I11b";"1";1;1;1;1;1
"259";"S009";"I12a";"1";3;5;5;3;5
"260";"S009";"I12b";"1";2;3;1;1;1
"261";"S009";"I1N";"1";4;3;3.5;2;4.5
"262";"S009";"I21a";"1";2;1;3;4;3
"263";"S009";"I21b";"1";4;4;5;4;5
"264";"S009";"I22a";"1";1;4;5;4;5
"265";"S009";"I22b";"1";1;2;3;4;3
"266";"S009";"I2N";"1";1.5;4;5;5;4.5
"267";"S009";"I31a";"1";1;2;3;1;3
"268";"S009";"I31b";"1";1;1;1;1;1
"269";"S009";"I32a";"1";2;5;5;2;5
"270";"S009";"I32b";"1";2;5;5;2;5
"271";"S009";"I3N";"1";2;5;5;2.5;5
"272";"S009";"I41a";"1";1;1;1;1;1
"273";"S009";"I41b";"1";1;1;1;1;1
"274";"S009";"I42a";"1";4;3;3;2;5
"275";"S009";"I42b";"1";4;4;4;2;5
"276";"S009";"I4N";"1";2.5;3.5;2.5;1;4.5
"277";"S009";"O1";"1";4;4;5;1;5
"278";"S009";"O10";"1";4;5;5;3;4
"279";"S009";"O11";"1";5;3;2;1;2
"280";"S009";"O12";"1";3;4;5;3;5
"281";"S009";"O2";"1";5;5;5;4;5
"282";"S009";"O3";"1";4;4;5;4;5
"283";"S009";"O4";"1";3;5;5;1;5
"284";"S009";"O5";"1";2;4;5;2;4
"285";"S009";"O6";"1";4;4;4;1;4
"286";"S009";"O7";"1";5;5;4;1;4
"287";"S009";"O8";"1";5;5;5;1;5
"288";"S009";"O9";"1";1;4;3;1;4
"289";"S010";"I11a";"1";1;1;1;1;1
"290";"S010";"I11b";"1";1;1;1;1;1
"291";"S010";"I12a";"1";3;5;5;3;5
"292";"S010";"I12b";"1";2;4;4;2;2
"293";"S010";"I1N";"1";3;5;5;2.5;5
"294";"S010";"I21a";"1";2;4;4;3;3
"295";"S010";"I21b";"1";3;3;4;3;4
"296";"S010";"I22a";"1";4;4;5;4;5
"297";"S010";"I22b";"1";3;3;4;3;3
"298";"S010";"I2N";"1";4;4.5;5;4;5
"299";"S010";"I31a";"1";4;5;5;4;5
"300";"S010";"I31b";"1";4;4;5;4;5
"301";"S010";"I32a";"1";4;4;5;4;4
"302";"S010";"I32b";"1";4;4;5;4;5
"303";"S010";"I3N";"1";4;5;5;5;5
"304";"S010";"I41a";"1";2;4;4;1;3
"305";"S010";"I41b";"1";3;4;4;4;4
"306";"S010";"I42a";"1";4;4;4;4;4
"307";"S010";"I42b";"1";3;4;4;3;5
"308";"S010";"I4N";"1";4;5;5;4;4
"309";"S010";"O1";"1";2;5;3;2;3
"310";"S010";"O10";"1";5;5;5;5;5
"311";"S010";"O11";"1";4;5;5;4;5
"312";"S010";"O12";"1";4;4;5;5;5
"313";"S010";"O2";"1";5;5;5;5;5
"314";"S010";"O3";"1";4;5;5;5;4
"315";"S010";"O4";"1";4;5;5;4;5
"316";"S010";"O5";"1";2;3;3;2;3
"317";"S010";"O6";"1";4;4;4;4;4
"318";"S010";"O7";"1";2;5;3;3;3
"319";"S010";"O8";"1";5;5;4;5;4
"320";"S010";"O9";"1";3;4;4;3;4
"321";"S011";"I11a";"1";1;1;1;1;1
"322";"S011";"I11b";"1";1;1;1;1;1
"323";"S011";"I12a";"1";4;4;4;4;5
"324";"S011";"I12b";"1";3;3;4;3;3
"325";"S011";"I1N";"1";4;4;3.5;3.5;3.5
"326";"S011";"I21a";"1";3;3;3;3;2
"327";"S011";"I21b";"1";2;2;3;2;2
"328";"S011";"I22a";"1";4;4;4;4;4
"329";"S011";"I22b";"1";4;4;4;4;4
"330";"S011";"I2N";"1";3;3;3.5;3.5;3
"331";"S011";"I31a";"1";2;2;3;2;2
"332";"S011";"I31b";"1";3;2;4;3;3
"333";"S011";"I32a";"1";4;3;4;3;4
"334";"S011";"I32b";"1";3;3;4;3;3
"335";"S011";"I3N";"1";4;4;4.5;4;4.5
"336";"S011";"I41a";"1";1;3;2;1;1
"337";"S011";"I41b";"1";1;3;2;1;1
"338";"S011";"I42a";"1";5;5;5;5;5
"339";"S011";"I42b";"1";2;4;3;3;2
"340";"S011";"I4N";"1";4.5;4.5;4;4;4
"341";"S011";"O1";"1";2;2;2;2;2
"342";"S011";"O10";"1";4;3;4;5;4
"343";"S011";"O11";"1";2;3;2;2;2
"344";"S011";"O12";"1";1;1;1;1;1
"345";"S011";"O2";"1";3;3;4;3;3
"346";"S011";"O3";"1";3;3;4;3;3
"347";"S011";"O4";"1";2;2;2;2;2
"348";"S011";"O5";"1";2;3;3;2;2
"349";"S011";"O6";"1";2;2;2;2;1
"350";"S011";"O7";"1";4;4;4;4;4
"351";"S011";"O8";"1";5;4;5;5;3
"352";"S011";"O9";"1";1;1;1;1;1
"353";"S012";"I11a";"1";1;1;2;2;2
"354";"S012";"I11b";"1";1;1;2;1;2
"355";"S012";"I12a";"1";1;5;5;4;5
"356";"S012";"I12b";"1";3;1;3;3;4
"357";"S012";"I1N";"1";1.5;4.5;4.5;3.5;4
"358";"S012";"I21a";"1";2;2;4;3;4
"359";"S012";"I21b";"1";3;3;5;4;4
"360";"S012";"I22a";"1";3;5;5;5;5
"361";"S012";"I22b";"1";2;4;5;4;5
"362";"S012";"I2N";"1";2.5;3;4.5;4.5;4.5
"363";"S012";"I31a";"1";1;2;4;3;3
"364";"S012";"I31b";"1";3;3;2;1;2
"365";"S012";"I32a";"1";1;5;5;5;5
"366";"S012";"I32b";"1";1;5;5;5;5
"367";"S012";"I3N";"1";1.5;5;5;5;4.5
"368";"S012";"I41a";"1";3;5;5;3;4
"369";"S012";"I41b";"1";3;5;4;3;4
"370";"S012";"I42a";"1";2;5;4;3;2
"371";"S012";"I42b";"1";3;3;3;2;2
"372";"S012";"I4N";"1";3;5;5;2.5;3.5
"373";"S012";"O1";"1";2;4;3;2;3
"374";"S012";"O10";"1";4;4;5;5;5
"375";"S012";"O11";"1";4;3;5;3;4
"376";"S012";"O12";"1";2;4;5;4;5
"377";"S012";"O2";"1";2;4;2;3;2
"378";"S012";"O3";"1";2;5;5;3;1
"379";"S012";"O4";"1";1;4;5;4;5
"380";"S012";"O5";"1";3;2;4;2;4
"381";"S012";"O6";"1";2;4;4;4;4
"382";"S012";"O7";"1";4;3;2;1;3
"383";"S012";"O8";"1";1;3;4;3;4
"384";"S012";"O9";"1";1;1;2;1;1
"385";"S013";"I11a";"1";1;2;1;1;1
"386";"S013";"I11b";"1";1;4;2;1;1
"387";"S013";"I12a";"1";4;5;5;5;5
"388";"S013";"I12b";"1";3;5;2;4;3
"389";"S013";"I1N";"1";3;5;4.5;3.5;4
"390";"S013";"I21a";"1";2;4;3;2;2
"391";"S013";"I21b";"1";2;4;3;2;3
"392";"S013";"I22a";"1";2;4;3;2;3
"393";"S013";"I22b";"1";2;4;3;2;3
"394";"S013";"I2N";"1";2;4;3;2;3
"395";"S013";"I31a";"1";1;1;1;1;1
"396";"S013";"I31b";"1";1;4;1;1;1
"397";"S013";"I32a";"1";5;5;5;5;5
"398";"S013";"I32b";"1";3;4;5;3;3
"399";"S013";"I3N";"1";5;5;5;5;5
"400";"S013";"I41a";"1";1;3;1;1;1
"401";"S013";"I41b";"1";1;5;1;1;1
"402";"S013";"I42a";"1";3;5;4;4;4
"403";"S013";"I42b";"1";5;5;5;5;5
"404";"S013";"I4N";"1";3.5;5;4.5;3.5;4.5
"405";"S013";"O1";"1";2;5;3;2;2
"406";"S013";"O10";"1";5;5;5;5;5
"407";"S013";"O11";"1";4;5;5;4;5
"408";"S013";"O12";"1";5;5;5;5;5
"409";"S013";"O2";"1";3;4;4;3;3
"410";"S013";"O3";"1";3;5;3;4;3
"411";"S013";"O4";"1";3;5;4;3;4
"412";"S013";"O5";"1";1;1;1;1;1
"413";"S013";"O6";"1";4;5;5;4;5
"414";"S013";"O7";"1";5;5;5;5;5
"415";"S013";"O8";"1";5;5;5;5;4
"416";"S013";"O9";"1";2;4;3;2;3
"417";"S014";"I11a";"1";1;3;2;1;1
"418";"S014";"I11b";"1";2;1;2;2;2
"419";"S014";"I12a";"1";4;5;4;4;5
"420";"S014";"I12b";"1";2;3;3;2;2
"421";"S014";"I1N";"1";2;4.5;3;2;4
"422";"S014";"I21a";"1";2;4;2;2;3
"423";"S014";"I21b";"1";3;2;3;4;4
"424";"S014";"I22a";"1";3;4;4;4;3
"425";"S014";"I22b";"1";4;2;4;4;4
"426";"S014";"I2N";"1";3.5;3.5;4;3.5;3
"427";"S014";"I31a";"1";3;2;3;2;4
"428";"S014";"I31b";"1";1;4;1;1;1
"429";"S014";"I32a";"1";5;5;5;5;5
"430";"S014";"I32b";"1";4;3;4;4;5
"431";"S014";"I3N";"1";3.5;4;4;4;4
"432";"S014";"I41a";"1";2;3;2;1;1
"433";"S014";"I41b";"1";3;3;3;2;2
"434";"S014";"I42a";"1";3;4;4;4;4
"435";"S014";"I42b";"1";3;2;4;4;3
"436";"S014";"I4N";"1";2.5;4;3.5;3;4
"437";"S014";"O1";"1";4;4;5;5;4
"438";"S014";"O10";"1";4;5;5;5;4
"439";"S014";"O11";"1";4;4;3;4;2
"440";"S014";"O12";"1";4;5;5;5;5
"441";"S014";"O2";"1";4;5;4;4;4
"442";"S014";"O3";"1";4;4;4;5;5
"443";"S014";"O4";"1";1;4;3;2;2
"444";"S014";"O5";"1";4;5;5;2;4
"445";"S014";"O6";"1";4;4;5;4;4
"446";"S014";"O7";"1";4;4;4;5;4
"447";"S014";"O8";"1";4;4;5;5;4
"448";"S014";"O9";"1";2;3;3;2;3
"449";"S015";"I11a";"1";4;1;1;1;1
"450";"S015";"I11b";"1";3;1;1;1;1
"451";"S015";"I12a";"1";3;3;2;2;3
"452";"S015";"I12b";"1";1;1;1;1;1
"453";"S015";"I1N";"1";2;4;3;2;3
"454";"S015";"I21a";"1";1;4;1;1;1
"455";"S015";"I21b";"1";5;4;1;1;1
"456";"S015";"I22a";"1";2;4;3;4;4
"457";"S015";"I22b";"1";2;4;4;5;5
"458";"S015";"I2N";"1";4;3;1;1.5;2
"459";"S015";"I31a";"1";2;2;1;1;1
"460";"S015";"I31b";"1";2;2;1;1;1
"461";"S015";"I32a";"1";2;5;5;5;4
"462";"S015";"I32b";"1";2;4;5;5;4
"463";"S015";"I3N";"1";2.5;4.5;4.5;4.5;4.5
"464";"S015";"I41a";"1";4;3;1;1;1
"465";"S015";"I41b";"1";4;3;1;1;1
"466";"S015";"I42a";"1";2;4;4;4;4
"467";"S015";"I42b";"1";2;5;5;5;5
"468";"S015";"I4N";"1";2.5;4.5;3.5;3.5;3.5
"469";"S015";"O1";"1";3;2;1;1;1
"470";"S015";"O10";"1";5;5;5;5;5
"471";"S015";"O11";"1";4;4;1;1;1
"472";"S015";"O12";"1";2;3;3;2;2
"473";"S015";"O2";"1";5;5;5;5;4
"474";"S015";"O3";"1";5;5;5;5;5
"475";"S015";"O4";"1";5;2;1;1;1
"476";"S015";"O5";"1";1;2;2;1;2
"477";"S015";"O6";"1";3;4;2;2;1
"478";"S015";"O7";"1";5;4;3;2;3
"479";"S015";"O8";"1";4;5;5;4;4
"480";"S015";"O9";"1";4;4;1;1;1
"481";"S016";"I11a";"1";1;1;1;1;1
"482";"S016";"I11b";"1";1;1;1;1;1
"483";"S016";"I12a";"1";1;4;2;1;1
"484";"S016";"I12b";"1";2;3;3;3;2
"485";"S016";"I1N";"1";2.5;5;5;3.5;3.5
"486";"S016";"I21a";"1";1;3;3;1;1
"487";"S016";"I21b";"1";1;3;3;1;1
"488";"S016";"I22a";"1";1;3;2;1;1
"489";"S016";"I22b";"1";2;2;3;3;1
"490";"S016";"I2N";"1";1;2;2.5;1;1
"491";"S016";"I31a";"1";1;1;1;1;1
"492";"S016";"I31b";"1";1;3;1;1;1
"493";"S016";"I32a";"1";2;5;4;4;3
"494";"S016";"I32b";"1";2;3;4;3;2
"495";"S016";"I3N";"1";2.5;5;5;4;3.5
"496";"S016";"I41a";"1";1;2;1;1;1
"497";"S016";"I41b";"1";1;2;1;1;1
"498";"S016";"I42a";"1";3;5;5;4;4
"499";"S016";"I42b";"1";2;4;3;3;1
"500";"S016";"I4N";"1";2.5;5;5;4;2.5
"501";"S016";"O1";"1";1;2;1;1;1
"502";"S016";"O10";"1";3;3;3;3;2
"503";"S016";"O11";"1";1;3;2;1;1
"504";"S016";"O12";"1";2;3;3;2;1
"505";"S016";"O2";"1";2;4;3;3;2
"506";"S016";"O3";"1";2;2;3;3;1
"507";"S016";"O4";"1";1;1;1;1;1
"508";"S016";"O5";"1";2;4;4;3;1
"509";"S016";"O6";"1";1;2;2;1;1
"510";"S016";"O7";"1";2;4;4;2;1
"511";"S016";"O8";"1";4;5;5;5;4
"512";"S016";"O9";"1";1;2;1;1;1
"513";"S017";"I11a";"1";1;4;4;2;3
"514";"S017";"I11b";"1";1;1;1;1;1
"515";"S017";"I12a";"1";4;5;5;5;5
"516";"S017";"I12b";"1";2;4;3;2;2
"517";"S017";"I1N";"1";1.5;4.5;4;3;5
"518";"S017";"I21a";"1";1;1;2;1;1
"519";"S017";"I21b";"1";4;3;4;3;4
"520";"S017";"I22a";"1";4;5;5;5;5
"521";"S017";"I22b";"1";1;2;2;1;1
"522";"S017";"I2N";"1";3;3;3.5;3.5;4
"523";"S017";"I31a";"1";2;5;4;2;1
"524";"S017";"I31b";"1";1;5;5;1;1
"525";"S017";"I32a";"1";4;5;5;5;5
"526";"S017";"I32b";"1";2;5;5;5;5
"527";"S017";"I3N";"1";2.5;5;5;5;5
"528";"S017";"I41a";"1";1;3;1;1;1
"529";"S017";"I41b";"1";1;1;1;1;1
"530";"S017";"I42a";"1";3;4;3;4;5
"531";"S017";"I42b";"1";4;5;5;5;5
"532";"S017";"I4N";"1";2.5;4.5;3;2.5;3.5
"533";"S017";"O1";"1";2;5;5;5;4
"534";"S017";"O10";"1";5;4;4;4;2
"535";"S017";"O11";"1";4;3;4;4;5
"536";"S017";"O12";"1";5;4;4;3;3
"537";"S017";"O2";"1";1;2;1;1;1
"538";"S017";"O3";"1";2;5;4;4;5
"539";"S017";"O4";"1";1;1;1;1;1
"540";"S017";"O5";"1";5;5;5;4;5
"541";"S017";"O6";"1";5;2;4;3;4
"542";"S017";"O7";"1";5;5;5;4;5
"543";"S017";"O8";"1";5;4;4;4;3
"544";"S017";"O9";"1";1;1;1;1;1
"545";"S018";"I11a";"1";1;2;1;1;1
"546";"S018";"I11b";"1";1;1;1;1;1
"547";"S018";"I12a";"1";2;4;4;2;4
"548";"S018";"I12b";"1";1;1;1;1;2
"549";"S018";"I1N";"1";1;3.5;2.5;1;3
"550";"S018";"I21a";"1";1;2;2;2;2
"551";"S018";"I21b";"1";1;1;2;1;1
"552";"S018";"I22a";"1";1;4;3;1;3
"553";"S018";"I22b";"1";1;1;2;1;1
"554";"S018";"I2N";"1";4;4;4;2;3.5
